"","logFC","logCPM","LR","PValue","FDR","diffexpressed","SYMBOL","delabel"
"hsa-mir-222",1.19942241035869,5.16623891986452,51.0917838612747,8.81464656596078e-13,1.69651759248971e-11,"UP","hsa-mir-222","hsa-mir-222"
"hsa-mir-224",3.04882441714808,7.52264413450562,102.693870061313,3.91152902414678e-24,3.66379885261748e-22,"UP","hsa-mir-224","hsa-mir-224"
"hsa-mir-29c",-1.19404904027176,11.1203681362422,95.8483916559469,1.24026733883954e-22,8.71287805534774e-21,"DOWN","hsa-mir-29c","hsa-mir-29c"
"hsa-mir-301a",1.17687981897406,3.38995869647724,40.8079352009655,1.6794973364591e-10,2.26893630550484e-09,"UP","hsa-mir-301a","hsa-mir-301a"
"hsa-mir-301b",1.67463265379363,1.14244193163202,38.6364865573028,5.10555202852446e-10,6.23765269571902e-09,"UP","hsa-mir-301b","hsa-mir-301b"
"hsa-mir-30d",1.00063744102853,13.8734234616398,49.4648479745773,2.01958207373625e-12,3.6378369405121e-11,"UP","hsa-mir-30d","hsa-mir-30d"
"hsa-mir-3117",1.81720358454225,-0.0771494114202833,20.0930942625149,7.37625338802594e-06,4.24739180744936e-05,"UP","hsa-mir-3117","hsa-mir-3117"
"hsa-mir-3127",1.09328891074632,1.92273637090966,41.1784689899019,1.38944687797747e-10,1.9328444193647e-09,"UP","hsa-mir-3127","hsa-mir-3127"
"hsa-mir-3131",2.05763374736875,-0.11008605518841,13.876556754742,0.000195218411305068,0.000818751844428718,"UP","hsa-mir-3131","hsa-mir-3131"
"hsa-mir-3144",3.59507608490631,0.179883376620644,54.1640127452411,1.84433913053186e-13,4.04890074749571e-12,"UP","hsa-mir-3144","hsa-mir-3144"
"hsa-mir-3171",2.26255664723968,-1.00466548086563,21.3565786687545,3.81310040747108e-06,2.33947863427811e-05,"UP","hsa-mir-3171","hsa-mir-3171"
"hsa-mir-3182",-1.80438836475785,-1.20319670867113,41.0047523338754,1.51859510859983e-10,2.09179032115958e-09,"DOWN","hsa-mir-3182","hsa-mir-3182"
"hsa-mir-3187",1.11164115858776,-0.600417320204472,12.677654689116,0.000370051442608662,0.0014645697939864,"UP","hsa-mir-3187","hsa-mir-3187"
"hsa-mir-3189",2.33650436233587,-0.312236827164228,21.4216522829549,3.68585203306392e-06,2.2713254852872e-05,"UP","hsa-mir-3189","hsa-mir-3189"
"hsa-mir-3200",2.46375283943304,2.30370919219003,56.3478867816479,6.07184972140131e-14,1.42182480976147e-12,"UP","hsa-mir-3200","hsa-mir-3200"
"hsa-mir-323b",1.21946800814677,3.21635189563976,10.2353047962739,0.00137777844295684,0.0048034211224674,"UP","hsa-mir-323b","hsa-mir-323b"
"hsa-mir-326",-1.35732255054587,2.51131336142524,68.8440379605452,1.06566275595376e-16,3.65184432223179e-15,"DOWN","hsa-mir-326","hsa-mir-326"
"hsa-mir-338",1.27965850442655,9.32723562780819,27.358836670928,1.6899043075673e-07,1.41328306674527e-06,"UP","hsa-mir-338","hsa-mir-338"
